codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
500060,2021,50530.350088205334,41751.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
500070,2021,24072.979160088413,24781.0,Mato Grosso do Sul,2.4056746559722564,baixa,alta,Atacarejo
522220,2021,27890.869632615097,4145.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
500025,2021,43341.956640553835,4649.0,Mato Grosso do Sul,2.4056746559722564,média,baixa,Misto / avaliar caso a caso
520250,2021,28238.394584139263,8570.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520235,2021,90414.29731925264,2904.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520215,2021,23110.455420141116,7152.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
521839,2021,22454.37558393024,3750.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521040,2021,40719.95758983961,47603.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
500100,2021,62919.69226104752,29826.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500090,2021,95418.41004184101,9717.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
521090,2021,22960.293501048218,21891.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
510779,2021,186836.05055871038,4244.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
521540,2021,40777.92878499592,4109.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
521525,2021,34944.90418118467,3703.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510787,2021,253902.92887029288,32514.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
520010,2021,21337.086187898243,17738.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
500790,2021,54739.044611133046,49735.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500780,2021,262613.5774218154,8716.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
520020,2021,35305.14096185738,1843.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520017,2021,91264.07667294198,4979.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520015,2021,19407.55467196819,2282.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521680,2021,17460.546875,9519.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
510650,2021,21248.876774695982,31203.0,Mato Grosso,-1.198470469704671,baixa,alta,Atacarejo
510645,2021,87927.5692074327,3328.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
522015,2021,26110.20330609918,4939.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520570,2021,33002.218278615794,2441.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520552,2021,21103.02485774184,4188.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
522005,2021,106424.54268292683,1812.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
500795,2021,26539.63543874523,11205.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
520620,2021,74978.26830658955,66827.0,Goiás,-0.15625883777098393,alta,alta,Varejo tradicional
520590,2021,70843.98721534159,9484.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
520580,2021,23190.858059342423,10724.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
500750,2021,45305.46875,5451.0,Mato Grosso do Sul,2.4056746559722564,média,baixa,Misto / avaliar caso a caso
500740,2021,30060.324594257178,20454.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
500770,2021,38897.68393637801,11322.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500769,2021,79018.2212581345,32207.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500755,2021,58766.98540513337,7165.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
521480,2021,31771.91413237925,2132.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520013,2021,46318.93439013651,22079.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
522010,2021,43116.21433542101,35288.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
510642,2021,25729.99019470514,33754.0,Mato Grosso,-1.198470469704671,baixa,alta,Atacarejo
510637,2021,89799.9658061207,18946.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
500793,2021,50811.638059331286,14813.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
500830,2021,93535.42916963008,143523.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
522000,2021,39522.08278444152,15026.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
500800,2021,31586.417851326965,18182.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
500797,2021,50533.16610925306,3740.0,Mato Grosso do Sul,2.4056746559722564,média,baixa,Misto / avaliar caso a caso
522028,2021,26207.843137254902,2200.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521645,2021,224468.63117870723,2999.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510670,2021,20470.16393442623,2098.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521230,2021,44791.33498629779,9123.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520640,2021,40813.84220354808,17532.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520630,2021,40553.67994598245,3670.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
521250,2021,25161.913857765147,221262.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
522020,2021,31656.322943841824,22040.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520551,2021,21009.099224880843,27196.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
521260,2021,37449.957591178965,2631.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520549,2021,13531.544977813635,101570.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
520547,2021,202721.12623877003,14321.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
510010,2021,20557.54379355811,4948.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
500840,2021,60803.92477514309,6505.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
510630,2021,91860.43010752689,28870.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510629,2021,70510.49508458065,12079.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
520005,2021,38627.21118148067,22052.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520660,2021,34354.60992907801,2951.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520650,2021,28795.835743204163,3999.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
522026,2021,77160.29232643118,4671.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
500730,2021,27367.171080285836,4921.0,Mato Grosso do Sul,2.4056746559722564,baixa,baixa,Risco (sem escala nem renda)
500720,2021,84921.91844300278,40419.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500640,2021,35538.18710359408,6910.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500635,2021,19622.255762897916,13368.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
521690,2021,90286.18266978922,2254.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520540,2021,32789.70857321373,22570.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
510030,2021,59491.42741199148,17751.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510627,2021,24938.805603342345,3267.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521470,2021,20699.83065198984,2380.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520030,2021,39779.830747531734,28244.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520025,2021,11054.467130356743,245352.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
521710,2021,50486.33011449293,25373.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
